"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"St. Lucie County, FL"	"12111"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Cook County, IL"	"17031"	47	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Calcasieu Parish, LA"	"22019"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Jefferson Parish, LA"	"22051"	13	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Baltimore County, MD"	"24005"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Baltimore city, MD"	"24510"	18	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Bristol County, MA"	"25005"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Essex County, MA"	"25009"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Middlesex County, MA"	"25017"	19	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Norfolk County, MA"	"25021"	13	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Worcester County, MA"	"25027"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Macomb County, MI"	"26099"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Wayne County, MI"	"26163"	18	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Clark County, NV"	"32003"	29	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Camden County, NJ"	"34007"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Bernalillo County, NM"	"35001"	18	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Bronx County, NY"	"36005"	19	Not Applicable	Not Applicable
