County_Code,Deaths,Population,State,County_nm
18177,14,68917,IN,Wayne
18179,-1,27636,IN,Wells
18181,-1,24643,IN,White
18183,-1,33292,IN,Whitley
19001,-1,7682,IA,Adair
19003,-1,4029,IA,Adams
19005,-1,14330,IA,Allamakee
19007,-1,12887,IA,Appanoose
19009,-1,6119,IA,Audubon
19011,-1,26076,IA,Benton
19013,11,131090,IA,Black Hawk
19015,-1,26306,IA,Boone
19017,-1,24276,IA,Bremer
19019,-1,20958,IA,Buchanan
19021,-1,20260,IA,Buena Vista
19023,-1,14867,IA,Butler
19025,-1,9670,IA,Calhoun
19027,-1,20816,IA,Carroll
19029,-1,13956,IA,Cass
19031,-1,18499,IA,Cedar
19033,-1,44151,IA,Cerro Gordo
19035,-1,12072,IA,Cherokee
19037,-1,12439,IA,Chickasaw
19039,-1,9286,IA,Clarke
19041,-1,16667,IA,Clay
19043,-1,18129,IA,Clayton
19045,-1,49116,IA,Clinton
19047,-1,17096,IA,Crawford
19049,-1,66135,IA,Dallas
19051,-1,8753,IA,Davis
