fips,year,deaths_clean,mortality_rate,log_mortality,opioids_in_gm,pop_clean,hhincome_clean,age_clean,white_clean,percent_white,coef_opioids_in_gm,coef_hhincome_clean,coef_age_clean,coef_pop_clean,coef_opioids_per1000_gm
36069,2006,15,14.1112720841408,2.64697391659484,18980.564602625,106298,56468,41.6,97952,92.1484882123841,5.30584876275077e-06,9.81541669661801e-06,0.0126106362457818,-0.0034046519889692197,0.005305848762750771
36071,2006,33,8.91407640714099,2.18763164607625,66958.0391800751,370201,69523,36.2,258131,69.7272562742942,2.6437793117619303e-06,-1.72470548636669e-05,0.0395049170493085,0.00448954439911908,0.0026437793117619303
36079,2006,10,10.045707971269302,2.3071454757503798,12980.140454325,99545,89218,40.9,83603,83.9851323522025,2.70958917710344e-06,-1.85213658189692e-05,0.0318941671946362,0.00576410904633251,0.0027095891771034396
36081,2006,166,7.54830574639784,2.02132313362787,125767.352564525,2199169,55291,37.1,628881,28.596301603014602,2.27890032916794e-06,-1.9301994217514103e-05,-0.009959061462028629,0.0132344182670647,0.00227890032916794
36085,2006,47,10.1413313194519,2.31661928337631,105424.365726025,463450,71084,38.1,303035,65.3867731146834,2.13851689103326e-06,-1.9234174711349303e-05,0.00177041746830042,0.0125613188912195,0.0021385168910332602
36087,2006,15,4.91061051983723,1.5913982762023002,38968.108167,305461,82534,36.8,203056,66.4752619810712,2.24231609776885e-06,-2.0709063135090398e-05,0.0318864845349758,0.00799205553308191,0.00224231609776885
36101,2006,10,10.1292492200478,2.31542720100734,15382.654434,98724,43867,41.0,93554,94.7631781532353,9.66750264199214e-06,9.409630955492e-06,0.0144140648104845,0.0031882933441949,0.009667502641992141
36103,2006,160,10.792230673138402,2.37882649313388,309834.125428676,1482548,84506,39.2,1082249,72.99925533608359,1.9834296147337897e-06,-2.2947029604476997e-05,0.0240359248178859,0.0128709145204438,0.00198342961473379
36105,2006,14,18.0354267310789,2.89233797534971,24405.54620435,77625,48103,41.2,58619,75.51561996779391,2.4157751633431e-06,-1.89780031344091e-05,0.0516494717222695,0.00147436480574115,0.0024157751633431
36119,2006,61,6.49346501938459,1.87079628953334,97805.751491925,939406,79619,39.7,553405,58.910098509057896,2.2382819460665698e-06,-2.1885243026631698e-05,0.0186294739755972,0.0116541453617569,0.00223828194606657
37001,2006,15,10.199086161879901,2.3222981243040697,27460.811756075,147072,44167,38.0,100158,68.1013381201044,8.806537461139981e-07,-2.33608591501155e-05,0.0233811818976939,0.00734761152383889,0.0008806537461139981
37019,2006,19,18.6285467772614,2.9246951771298395,35199.372920625,101994,45806,46.6,82766,81.1479106614115,2.04665165664072e-06,-2.49860623970435e-07,0.0198620014495674,0.00417401364738446,0.00204665165664072
37021,2006,27,11.5756123284559,2.4489004995196,58225.3732449251,233249,44190,40.6,198392,85.0558844839635,2.21338429885482e-06,-3.0414331048085497e-05,-0.0116753173751007,0.0010683699197517901,0.00221338429885482
37023,2006,20,22.0855372859083,3.09492297284441,33846.094787,90557,37139,40.3,75394,83.2558499066886,1.7608826215441398e-06,-3.1609157146684495e-05,-0.0111810797015952,0.00666699207135579,0.0017608826215441398
37025,2006,19,11.177128066356799,2.41386955336385,40248.703658300095,169990,53928,36.3,124012,72.9525266192129,3.29568617901414e-06,-3.0043630854104602e-05,0.00717888777235132,0.0104665221885902,0.00329568617901414
