County_cd,State,County_nm,pills
19191,IA,WINNESHIEK,238100
19193,IA,WOODBURY,2004870
19195,IA,WORTH,60200
19197,IA,WRIGHT,420800
16001,ID,ADA,12984110
16003,ID,ADAMS,1200
16005,ID,BANNOCK,3002960
16007,ID,BEAR LAKE,287500
16009,ID,BENEWAH,610900
16011,ID,BINGHAM,1136270
16013,ID,BLAINE,293700
16017,ID,BONNER,1826560
16019,ID,BONNEVILLE,3817890
16021,ID,BOUNDARY,527300
16023,ID,BUTTE,115260
16027,ID,CANYON,5307530
16029,ID,CARIBOU,230340
16031,ID,CASSIA,1203820
16035,ID,CLEARWATER,459800
16037,ID,CUSTER,49700
16039,ID,ELMORE,566000
16041,ID,FRANKLIN,310400
16043,ID,FREMONT,176800
16045,ID,GEM,187000
16047,ID,GOODING,403900
16049,ID,IDAHO,427130
16051,ID,JEFFERSON,299700
16053,ID,JEROME,619000
16055,ID,KOOTENAI,5577290
16057,ID,LATAH,1088760
16059,ID,LEMHI,394400
16061,ID,LEWIS,307630
16065,ID,MADISON,632370
16067,ID,MINIDOKA,298500
16069,ID,NEZ PERCE,2485910
16071,ID,ONEIDA,146290
16073,ID,OWYHEE,156020
16075,ID,PAYETTE,303900
16077,ID,POWER,198030
16079,ID,SHOSHONE,980000
16081,ID,TETON,213800
16083,ID,TWIN FALLS,3812000
16085,ID,VALLEY,464560
16087,ID,WASHINGTON,400020
17001,IL,ADAMS,2887380
17003,IL,ALEXANDER,117700
17005,IL,BOND,368670
17007,IL,BOONE,1225924
17009,IL,BROWN,103700
17011,IL,BUREAU,478660
17013,IL,CALHOUN,152540
17015,IL,CARROLL,220500
17017,IL,CASS,204500
17019,IL,CHAMPAIGN,4325430
17021,IL,CHRISTIAN,1383420
17023,IL,CLARK,644460
17025,IL,CLAY,363990
17027,IL,CLINTON,452660
17029,IL,COLES,1669600
17031,IL,COOK,75239528
17033,IL,CRAWFORD,844100
17035,IL,CUMBERLAND,148300
17037,IL,DEKALB,1704610
17039,IL,DEWITT,376500
17041,IL,DOUGLAS,369440
17043,IL,DUPAGE,16266570
17045,IL,EDGAR,583700
17047,IL,EDWARDS,185800
17049,IL,EFFINGHAM,1273800
17051,IL,FAYETTE,520360
17053,IL,FORD,447640
17055,IL,FRANKLIN,2744160
17057,IL,FULTON,1020710
17059,IL,GALLATIN,93910
17061,IL,GREENE,541730
17063,IL,GRUNDY,1145600
17065,IL,HAMILTON,186800
17067,IL,HANCOCK,272220
17069,IL,HARDIN,397860
17071,IL,HENDERSON,50600
17073,IL,HENRY,825200
17075,IL,IROQUOIS,953920
17077,IL,JACKSON,2362030
17079,IL,JASPER,350500
17081,IL,JEFFERSON,1468780
17083,IL,JERSEY,1096230
17085,IL,JO DAVIESS,381900
17087,IL,JOHNSON,270920
17089,IL,KANE,5887580
17091,IL,KANKAKEE,3165030
17093,IL,KENDALL,1807400
17095,IL,KNOX,1891740
17099,IL,LA SALLE,3489610
17097,IL,LAKE,11818262
17101,IL,LAWRENCE,615500
17103,IL,LEE,647930
17105,IL,LIVINGSTON,1156000
17107,IL,LOGAN,850300
17115,IL,MACON,3809850
17117,IL,MACOUPIN,1228740
17119,IL,MADISON,11221160
17121,IL,MARION,1459900
17123,IL,MARSHALL,276230
17125,IL,MASON,397780
17127,IL,MASSAC,865970
17109,IL,MCDONOUGH,700920
17111,IL,MCHENRY,5737227.5
17113,IL,MCLEAN,2467823
17129,IL,MENARD,145100
17131,IL,MERCER,161850
17133,IL,MONROE,1028660
17135,IL,MONTGOMERY,1071780
17137,IL,MORGAN,1185880
17139,IL,MOULTRIE,229160
17141,IL,OGLE,1009900
17143,IL,PEORIA,5266673
17145,IL,PERRY,837000
17147,IL,PIATT,422020
17149,IL,PIKE,450250
17151,IL,POPE,112700
17153,IL,PULASKI,236700
