county_id,2006,2007,2008,2009,2010,2011,2012
19059,1009,1360,1569,1952,2346,2731,2325
19061,7608,8052,8702,9603,12428,13617,13013
19063,561,752,799,749,812,883,717
19065,1827,2251,2420,2638,3197,3916,3167
19067,1196,1111,1428,1564,1590,1902,2118
19069,845,795,843,1002,1031,1182,1322
19071,747,1049,713,762,957,1120,964
19073,633,843,1109,1156,1481,1474,1349
19075,1965,2022,2129,2279,1641,1834,1719
19077,821,1115,1207,1352,1402,1447,1420
19079,1505,1781,2018,1892,2039,2079,1651
19081,349,546,504,708,835,795,891
19083,2176,2436,2709,2772,2758,3086,3386
19085,2507,2600,2612,2752,3244,3396,3378
19087,1504,1772,1764,1983,2051,2016,1966
19089,687,644,918,1083,1545,2058,1548
19091,879,912,965,1183,1390,1568,1440
19093,620,628,674,1142,1325,1356,1420
19095,780,953,1187,1473,1388,1664,1816
19097,1632,1545,1745,1982,2446,2703,2759
19099,4571,5045,5289,5501,6745,6693,5875
19101,2598,2392,2685,3116,3354,3274,2712
19103,5970,6723,7962,8337,9533,11692,13543
19105,1058,1064,1478,1596,2030,2332,2813
19107,204,247,270,346,436,465,539
19109,1188,1476,1425,1396,1703,2307,2403
19111,5189,6109,7222,7586,8596,9943,11273
19113,17378,18859,21328,25208,28449,29628,28507
19115,455,485,446,484,524,551,423
19117,1302,1506,1674,1791,1839,1718,1274
19119,700,864,1064,917,924,1206,1087
19121,1376,1459,1619,1909,2169,2406,2426
19123,2597,2580,2917,3161,3450,3439,3211
19125,4502,5081,5180,5178,5754,7007,6637
19127,4198,4769,5466,6369,7371,7766,7301
19129,993,1016,1499,1884,2198,3032,3681
19131,559,561,432,403,563,844,1171
19133,1136,1318,1449,1685,1914,2316,2121
19135,720,694,728,776,1050,971,885
19137,1612,1633,1722,2154,2287,2395,2196
19139,2895,3083,3591,3539,4009,4524,4646
19141,627,690,765,805,938,1227,1416
19143,478,542,514,571,673,611,485
19145,2169,2524,2962,3385,4040,4647,4443
19147,821,794,902,913,1117,1250,918
